qubit, time(s), standardDev, maxDelta, minDelta
0, 0.30206124, 0.01963462, 0.05152687, 0.01271216
1, 0.28970737, 0.00026793, 0.00057249, 0.00070329
2, 0.28726578, 0.00039945, 0.00071812, 0.00096583
3, 0.28773444, 0.00040665, 0.00081856, 0.00095742
4, 0.28827804, 0.00041315, 0.00066692, 0.00100201
5, 0.28577091, 0.00037523, 0.00072907, 0.00061799
6, 0.28415036, 0.00020951, 0.00027180, 0.00044751
7, 0.30275415, 0.00019017, 0.00034381, 0.00031804
8, 0.30037227, 0.00012689, 0.00016866, 0.00022140
9, 0.28688191, 0.00026156, 0.00063921, 0.00032901
10, 0.28876418, 0.02321273, 0.07656986, 0.00811619
11, 0.29615653, 0.02086892, 0.05927932, 0.01209056
12, 0.28359023, 0.00013003, 0.00027069, 0.00017730
13, 0.28831538, 0.00062140, 0.00142781, 0.00096735
14, 0.29810667, 0.00049628, 0.00107718, 0.00085664
15, 0.29319187, 0.00054743, 0.00099615, 0.00116893
16, 0.29225165, 0.00054232, 0.00112528, 0.00108844
17, 0.28648963, 0.00051314, 0.00113544, 0.00077262
18, 0.28934977, 0.00057564, 0.00106623, 0.00110266
19, 0.29044870, 0.00053903, 0.00101444, 0.00133566
20, 0.28936176, 0.00053640, 0.00085707, 0.00081067
21, 0.28843367, 0.00049478, 0.00088441, 0.00090349
22, 0.28996592, 0.00043637, 0.00077219, 0.00094013
23, 0.29174309, 0.00081570, 0.00269384, 0.00105100
24, 0.29145350, 0.00030767, 0.00043545, 0.00068250
25, 0.29310112, 0.00036353, 0.00085993, 0.00070529
26, 0.28846045, 0.00018187, 0.00033169, 0.00035257
27, 0.29497193, 0.00024429, 0.00053622, 0.00046395
28, 0.29375213, 0.00019711, 0.00035268, 0.00034207
29, 5.59782329, 0.11002768, 0.29945884, 0.14277329
30, 5.99414202, 0.14724973, 0.44109086, 0.28026386
31, 8.71832525, 0.27489489, 0.53814782, 0.61423527
32, 13.91090523, 0.42078202, 0.67882479, 0.78612219
33, 12.43442551, 0.18855990, 0.51820334, 0.28417960
34, 14.40446947, 0.17444756, 0.30247047, 0.27040956
