qubit, time(s), standardDev, maxDelta, minDelta
0, 0.22043455, 0.00023054, 0.00051844, 0.00042450
1, 0.23793260, 0.00028075, 0.00031050, 0.00056044
2, 0.23716986, 0.00051780, 0.00104630, 0.00051486
3, 0.23684411, 0.00051581, 0.00060196, 0.00076013
4, 0.23693358, 0.00030146, 0.00092734, 0.00031458
5, 0.23489547, 0.00024466, 0.00031161, 0.00043559
6, 0.23575494, 0.00014350, 0.00023415, 0.00037906
7, 0.24291009, 0.00030319, 0.00028592, 0.00072807
8, 0.23990167, 0.00035617, 0.00035726, 0.00096263
9, 0.23055744, 0.00027015, 0.00028777, 0.00038242
10, 0.22979571, 0.00020382, 0.00021218, 0.00044562
11, 0.22995361, 0.00026987, 0.00042049, 0.00054249
12, 0.23031980, 0.00033747, 0.00038117, 0.00063783
13, 0.22868286, 0.00025084, 0.00049533, 0.00022184
14, 0.22872685, 0.00021356, 0.00032235, 0.00025891
15, 0.22879730, 0.00025634, 0.00026072, 0.00041829
16, 0.22917246, 0.00023639, 0.00034047, 0.00036238
17, 0.22893119, 0.00027372, 0.00057983, 0.00025320
18, 0.22904491, 0.00024077, 0.00048828, 0.00021482
19, 0.22883779, 0.00012046, 0.00038022, 0.00010282
20, 0.22896783, 0.00031741, 0.00074298, 0.00027173
21, 0.22934731, 0.00034549, 0.00058047, 0.00048741
22, 0.22932576, 0.00032211, 0.00055815, 0.00044869
23, 0.22943358, 0.00035472, 0.00039024, 0.00057654
24, 0.22936680, 0.00047457, 0.00085018, 0.00043561
25, 0.22915721, 0.00025229, 0.00087786, 0.00016117
26, 0.22944081, 0.00034198, 0.00082219, 0.00034988
27, 0.23079853, 0.00041068, 0.00140257, 0.00038271
28, 0.22345126, 0.01012747, 0.04413092, 0.00256932
