qubit, time(s), standardDev, maxDelta, minDelta
0, 0.44946917, 0.00021247, 0.00050274, 0.00033602
1, 0.48175571, 0.00011730, 0.00021532, 0.00019858
2, 0.48126478, 0.00009329, 0.00014238, 0.00019379
3, 0.48138309, 0.00007851, 0.00016785, 0.00011706
4, 0.48254620, 0.00008379, 0.00023378, 0.00015413
5, 0.47661663, 0.00010199, 0.00016330, 0.00023271
6, 0.47829939, 0.00010609, 0.00020360, 0.00013424
7, 0.49311997, 0.00015292, 0.00032805, 0.00026203
8, 0.48673877, 0.00016555, 0.00039831, 0.00026687
9, 0.47061194, 0.00016136, 0.00064002, 0.00011195
10, 0.46929693, 0.00006617, 0.00014114, 0.00010085
11, 0.46840845, 0.00013713, 0.00052656, 0.00012242
12, 0.46873448, 0.00009331, 0.00023749, 0.00016949
13, 0.46698792, 0.00006397, 0.00014799, 0.00009496
14, 0.46716440, 0.00013385, 0.00054157, 0.00015032
15, 0.46661021, 0.00005963, 0.00018882, 0.00012423
16, 0.46728497, 0.00010330, 0.00022812, 0.00019102
17, 0.46768588, 0.00012074, 0.00045997, 0.00015587
18, 0.46724358, 0.00006949, 0.00012741, 0.00014462
19, 0.46720464, 0.00012608, 0.00040834, 0.00018175
20, 0.46665589, 0.00006469, 0.00015124, 0.00011889
21, 0.46604768, 0.00008909, 0.00018533, 0.00014988
22, 0.46564999, 0.00008371, 0.00021086, 0.00012794
23, 0.46563413, 0.00005205, 0.00013492, 0.00009515
24, 0.46572183, 0.00005479, 0.00014712, 0.00009273
25, 0.46578314, 0.00008222, 0.00023887, 0.00010922
26, 0.46596773, 0.00006434, 0.00015419, 0.00007875
27, 0.46869560, 0.00007923, 0.00022939, 0.00009843
28, 0.44983721, 0.00010882, 0.00032973, 0.00018430
29, 2.33712724, 0.00323850, 0.00598975, 0.00543622
