qubit, time(s), standardDev, maxDelta, minDelta
0, 0.87795296, 0.00081465, 0.00174198, 0.00098791
1, 0.96181415, 0.00206734, 0.00343276, 0.00266122
2, 0.95739460, 0.00126967, 0.00335550, 0.00084567
3, 0.94581779, 0.00062984, 0.00094119, 0.00080189
4, 0.94777095, 0.00088939, 0.00182593, 0.00097501
5, 0.94899050, 0.00154853, 0.00240763, 0.00220672
6, 0.95155386, 0.00138275, 0.00308415, 0.00141982
7, 0.96714585, 0.00072328, 0.00181396, 0.00081699
8, 0.95632627, 0.00109225, 0.00200865, 0.00115421
9, 0.93213354, 0.00152483, 0.00375141, 0.00100051
10, 0.93026655, 0.00176067, 0.00209649, 0.00364153
11, 0.91571685, 0.00083032, 0.00242022, 0.00055405
12, 0.91719248, 0.00141749, 0.00382564, 0.00098755
13, 0.91222074, 0.00069773, 0.00218222, 0.00039675
14, 0.91273774, 0.00082647, 0.00206434, 0.00070895
15, 0.91242826, 0.00059912, 0.00144970, 0.00056231
16, 0.91467732, 0.00070856, 0.00147468, 0.00065035
17, 0.91426758, 0.00085257, 0.00138232, 0.00115875
18, 0.91442686, 0.00120043, 0.00302118, 0.00118881
19, 0.91419284, 0.00070794, 0.00197108, 0.00057499
20, 0.91413995, 0.00085355, 0.00213317, 0.00085398
21, 0.91475216, 0.00094817, 0.00194892, 0.00112215
22, 0.91421025, 0.00057739, 0.00178988, 0.00050323
23, 0.91477621, 0.00122741, 0.00319588, 0.00121820
24, 0.91467124, 0.00090163, 0.00203174, 0.00087816
25, 0.91501650, 0.00104382, 0.00196043, 0.00125846
26, 0.91466314, 0.00096407, 0.00263995, 0.00082523
27, 0.91977324, 0.00126069, 0.00265679, 0.00131741
28, 0.91943554, 0.00111422, 0.00326153, 0.00082353
29, 0.91990269, 0.00043805, 0.00126539, 0.00035776
30, 0.89074341, 0.03846293, 0.16763362, 0.00930635
