qubit, time(s), standardDev, maxDelta, minDelta
0, 0.65874883, 0.00010645, 0.00025324, 0.00017091
1, 0.68675057, 0.00019257, 0.00079449, 0.00013248
2, 0.68043702, 0.00004751, 0.00007708, 0.00008981
3, 0.68054259, 0.00003478, 0.00008738, 0.00004375
4, 0.67360606, 0.00004227, 0.00012479, 0.00006523
5, 0.67707155, 0.00005058, 0.00013235, 0.00010059
6, 0.67952328, 0.00004869, 0.00008173, 0.00012140
7, 0.68942472, 0.00007134, 0.00015715, 0.00015470
8, 0.67602663, 0.00008089, 0.00017138, 0.00016956
9, 0.67182693, 0.00009822, 0.00033417, 0.00016389
10, 0.66987152, 0.00003403, 0.00006847, 0.00005050
11, 0.66936218, 0.00004801, 0.00011791, 0.00007521
12, 0.67215824, 0.00009503, 0.00013781, 0.00034428
13, 0.66892285, 0.00004812, 0.00008922, 0.00006695
14, 0.66901243, 0.00005561, 0.00020754, 0.00006258
15, 0.66827343, 0.00003334, 0.00007155, 0.00008152
16, 0.66880234, 0.00005872, 0.00014058, 0.00008734
17, 0.66952420, 0.00005900, 0.00011967, 0.00010802
18, 0.66929789, 0.00002202, 0.00004225, 0.00004287
19, 0.66946082, 0.00005658, 0.00017614, 0.00008993
20, 0.66928600, 0.00017518, 0.00075008, 0.00009392
21, 0.66979772, 0.00030091, 0.00127023, 0.00019580
22, 0.67026840, 0.00081103, 0.00352443, 0.00032650
23, 0.67095242, 0.00108924, 0.00472870, 0.00051842
24, 0.67265036, 0.00332204, 0.01445577, 0.00112631
25, 0.67610676, 0.00463608, 0.02018230, 0.00139172
26, 0.66983963, 0.00113413, 0.00493716, 0.00038744
27, 0.65989153, 0.00012569, 0.00052054, 0.00008337
28, 0.66178194, 0.00177354, 0.00772818, 0.00052086
29, 0.66435859, 0.00098272, 0.00426438, 0.00053856
30, 4.88357788, 0.06605476, 0.10407323, 0.15702182
