qubit, time(s), standardDev, maxDelta, minDelta
0, 11.18618305, 0.00255796, 0.00505083, 0.00445707
1, 12.67922226, 0.00109198, 0.00231370, 0.00233523
2, 12.47622126, 0.00069432, 0.00139791, 0.00122613
3, 12.49577768, 0.00116395, 0.00250928, 0.00166376
4, 12.45353595, 0.00096504, 0.00159916, 0.00135199
5, 12.21251900, 0.00060663, 0.00184600, 0.00094302
6, 12.28042301, 0.00066633, 0.00116888, 0.00101885
7, 12.75456269, 0.00199037, 0.00805943, 0.00197966
8, 12.58338805, 0.00073348, 0.00161079, 0.00120612
9, 11.97736037, 0.00041928, 0.00065553, 0.00075042
10, 11.76506565, 0.00071303, 0.00169637, 0.00132558
11, 11.81184422, 0.00045966, 0.00118078, 0.00083815
12, 11.80658084, 0.00073047, 0.00225395, 0.00089985
13, 11.77685041, 0.00075104, 0.00187259, 0.00118561
14, 11.77964514, 0.00068684, 0.00144988, 0.00107807
15, 11.77853607, 0.00083335, 0.00137187, 0.00147508
16, 11.77550774, 0.00043276, 0.00077815, 0.00082974
17, 11.59541630, 0.00091153, 0.00182868, 0.00140737
18, 11.59700724, 0.00067361, 0.00218467, 0.00087925
19, 11.59740515, 0.00121063, 0.00491672, 0.00107617
20, 11.59722966, 0.00051134, 0.00098044, 0.00089282
21, 11.59712837, 0.00086736, 0.00191667, 0.00178144
22, 11.59788606, 0.00044294, 0.00085595, 0.00115821
23, 11.59966820, 0.00085696, 0.00215179, 0.00193828
24, 11.60048784, 0.00045405, 0.00092517, 0.00074471
25, 11.60064731, 0.00051957, 0.00096169, 0.00095735
26, 11.59976528, 0.00054241, 0.00093057, 0.00072334
27, 11.59997255, 0.00061697, 0.00103539, 0.00082356
28, 11.69502624, 0.00046730, 0.00055066, 0.00103625
29, 11.69527161, 0.00048497, 0.00057328, 0.00124753
30, 11.69510173, 0.00054008, 0.00116016, 0.00091265
31, 11.69450777, 0.00064004, 0.00105317, 0.00117080
32, 11.69622425, 0.00071693, 0.00127479, 0.00180534
33, 11.69962909, 0.00163638, 0.00354288, 0.00226905
34, 21.60846184, 0.01211212, 0.01614834, 0.01947688
35, 42.02010195, 0.01943757, 0.02670009, 0.03651493
36, 51.37863817, 0.00624344, 0.01270280, 0.01356831
