qubit, time(s), standardDev, maxDelta, minDelta
0, 0.61659415, 0.00814736, 0.02128975, 0.00539405
1, 0.68099459, 0.00373706, 0.01128141, 0.00134047
2, 0.66532227, 0.00099562, 0.00433472, 0.00033613
3, 0.66763152, 0.00718991, 0.03133951, 0.00172533
4, 0.66572878, 0.00129242, 0.00394204, 0.00050375
5, 0.65886256, 0.00439977, 0.01053838, 0.00190159
6, 0.65557159, 0.00149233, 0.00650226, 0.00040854
7, 0.67170551, 0.00148228, 0.00645850, 0.00038841
8, 0.66240835, 0.00179782, 0.00783467, 0.00047231
9, 0.64779701, 0.00387791, 0.01688800, 0.00110593
10, 0.63863034, 0.00003311, 0.00005774, 0.00005455
11, 0.63855873, 0.00386956, 0.01680530, 0.00107991
12, 0.63768378, 0.00003135, 0.00006613, 0.00006167
13, 0.64881096, 0.00393549, 0.01714911, 0.00108490
14, 0.64770705, 0.00012469, 0.00035399, 0.00015026
15, 0.64871845, 0.00019089, 0.00043263, 0.00040231
16, 0.64818165, 0.00392300, 0.01709440, 0.00114653
17, 0.64721669, 0.00021520, 0.00064336, 0.00024976
18, 0.64738604, 0.00087962, 0.00369290, 0.00044199
19, 0.64801995, 0.00384428, 0.01674827, 0.00104204
20, 0.64720596, 0.00010866, 0.00027214, 0.00020493
21, 0.64716929, 0.00008489, 0.00012690, 0.00021237
22, 0.64794414, 0.00313992, 0.01368196, 0.00091021
23, 0.64814688, 0.00308819, 0.01178001, 0.00110985
24, 0.64716971, 0.00007341, 0.00014031, 0.00014770
25, 0.64719508, 0.00005289, 0.00009587, 0.00016615
26, 0.64729420, 0.00005785, 0.00009879, 0.00009624
27, 0.64638153, 0.00007730, 0.00016626, 0.00013033
28, 0.62187848, 0.00017864, 0.00052848, 0.00026450
29, 4.07400093, 0.01070915, 0.03518691, 0.01151690
