qubit, time(s), standardDev, maxDelta, minDelta
0, 0.61963880, 0.00055044, 0.00215924, 0.00069964
1, 0.69095225, 0.00010157, 0.00018768, 0.00022025
2, 0.67243830, 0.00486615, 0.02120169, 0.00128618
3, 0.67194626, 0.00005037, 0.00013473, 0.00007818
4, 0.66575627, 0.00003759, 0.00006886, 0.00007443
5, 0.66396613, 0.00008344, 0.00009995, 0.00027223
6, 0.66806473, 0.00012221, 0.00008832, 0.00050963
7, 0.69761218, 0.00494870, 0.02156888, 0.00127519
8, 0.67278790, 0.00023721, 0.00068903, 0.00036192
9, 0.66003414, 0.00033903, 0.00079683, 0.00059816
10, 0.64457531, 0.00018662, 0.00046663, 0.00031133
11, 0.64289819, 0.00012193, 0.00014271, 0.00035321
12, 0.64330351, 0.00466171, 0.02031529, 0.00129139
13, 0.66147337, 0.00885668, 0.01582661, 0.00598345
14, 0.65651184, 0.00260273, 0.01131004, 0.00098974
15, 0.65738736, 0.00457526, 0.01992763, 0.00135456
16, 0.65623934, 0.00279136, 0.00837748, 0.00144131
17, 0.65955942, 0.00839826, 0.01706870, 0.00476830
18, 0.65715636, 0.00639922, 0.01930963, 0.00236834
19, 0.65544747, 0.00203925, 0.00827457, 0.00088357
20, 0.65521585, 0.00346267, 0.01508011, 0.00121580
21, 0.65490775, 0.00521764, 0.02272935, 0.00140386
22, 0.65394326, 0.00219111, 0.00953964, 0.00070425
23, 0.65362821, 0.00006895, 0.00016584, 0.00014935
24, 0.65375384, 0.00087909, 0.00380412, 0.00037893
25, 0.65354714, 0.00007938, 0.00013294, 0.00015602
26, 0.66057806, 0.00456610, 0.01989503, 0.00128703
27, 0.75263079, 0.00025771, 0.00028220, 0.00084194
28, 1.02100275, 0.00075473, 0.00269034, 0.00093172
29, 5.77679702, 0.21875081, 0.15030912, 0.42621824
