qubit, time(s), standardDev, maxDelta, minDelta
0, 0.61364605, 0.00460816, 0.01396511, 0.00240710
1, 0.69194465, 0.00011428, 0.00020332, 0.00017552
2, 0.66508613, 0.00029822, 0.00105801, 0.00024710
3, 0.66720921, 0.00537894, 0.02340072, 0.00151306
4, 0.66628574, 0.00008694, 0.00015022, 0.00018071
5, 0.66863859, 0.00006365, 0.00012147, 0.00011170
6, 0.65530860, 0.00027244, 0.00093353, 0.00019562
7, 0.67276112, 0.00006836, 0.00011381, 0.00018708
8, 0.66336402, 0.00003324, 0.00007788, 0.00005993
9, 0.65780944, 0.00007812, 0.00022370, 0.00014442
10, 0.63878151, 0.00027772, 0.00116566, 0.00017043
11, 0.63763115, 0.00032056, 0.00105693, 0.00019810
12, 0.63727875, 0.00028351, 0.00120931, 0.00021477
13, 0.64923358, 0.00424236, 0.01842928, 0.00133467
14, 0.64847814, 0.00076205, 0.00328673, 0.00039207
15, 0.64849582, 0.00034854, 0.00123105, 0.00031867
16, 0.64782860, 0.00033239, 0.00133727, 0.00033166
17, 0.64794937, 0.00034872, 0.00109371, 0.00051633
18, 0.64811755, 0.00018923, 0.00056051, 0.00026346
19, 0.64808375, 0.00025499, 0.00092334, 0.00036079
20, 0.64809613, 0.00023582, 0.00080676, 0.00033908
21, 0.64816140, 0.00016293, 0.00023676, 0.00036453
22, 0.64807854, 0.00013097, 0.00025525, 0.00026069
23, 0.65029764, 0.00497281, 0.01434851, 0.00263667
24, 0.64793445, 0.00016958, 0.00035857, 0.00025536
25, 0.64801370, 0.00035853, 0.00091637, 0.00030171
26, 0.66239597, 0.00219110, 0.00951384, 0.00077010
27, 0.94296250, 0.00045375, 0.00059929, 0.00147066
28, 1.02286403, 0.00065216, 0.00162299, 0.00118797
29, 1.02424947, 0.00041758, 0.00055250, 0.00093333
30, 9.33978633, 0.17435171, 0.20370480, 0.54299334
