qubit, time(s), standardDev, maxDelta, minDelta
0, 0.09470646, 0.00007600, 0.00017555, 0.00012844
1, 0.09472320, 0.00007342, 0.00011375, 0.00015113
2, 0.10031705, 0.00000586, 0.00001307, 0.00001006
3, 0.09963018, 0.00000510, 0.00001067, 0.00001198
4, 0.09266558, 0.00010527, 0.00017343, 0.00020757
5, 0.09198847, 0.00012725, 0.00018439, 0.00021949
6, 0.09160538, 0.00015802, 0.00025468, 0.00028248
7, 0.09160811, 0.00019817, 0.00034899, 0.00029594
8, 0.09145353, 0.00010453, 0.00031450, 0.00017855
9, 0.09168465, 0.00020475, 0.00033848, 0.00042064
10, 0.09158351, 0.00016799, 0.00027153, 0.00027945
11, 0.09243706, 0.00008921, 0.00016710, 0.00013403
12, 0.09251789, 0.00010917, 0.00024101, 0.00022486
13, 0.09221705, 0.00011778, 0.00026504, 0.00022706
14, 0.09231521, 0.00012023, 0.00022982, 0.00018812
15, 0.09262496, 0.00011852, 0.00027388, 0.00017196
16, 0.09293748, 0.00008199, 0.00015448, 0.00011541
17, 0.09310920, 0.00010772, 0.00015085, 0.00018008
18, 0.09278532, 0.00008713, 0.00015262, 0.00011727
19, 0.09296573, 0.00008701, 0.00013434, 0.00014676
20, 0.09298248, 0.00009407, 0.00014739, 0.00016255
21, 0.09292930, 0.00008478, 0.00014883, 0.00019330
22, 0.09290404, 0.00010726, 0.00020390, 0.00016112
23, 0.09297380, 0.00007920, 0.00010719, 0.00020895
24, 0.09285626, 0.00007528, 0.00015273, 0.00013528
25, 0.09321040, 0.00006477, 0.00010878, 0.00010437
26, 0.09327410, 0.00009259, 0.00011803, 0.00024604
27, 0.09289819, 0.00008759, 0.00012082, 0.00017029
28, 0.09275844, 0.00010990, 0.00018475, 0.00018241
