qubit, time(s), standardDev, maxDelta, minDelta
0, 0.03312899, 0.00006009, 0.00004791, 0.00014092
1, 0.03308561, 0.00001062, 0.00001547, 0.00001981
2, 0.03225186, 0.00000829, 0.00001714, 0.00001385
3, 0.03224941, 0.00000734, 0.00001267, 0.00001236
4, 0.03205509, 0.00000478, 0.00001292, 0.00000806
5, 0.03189520, 0.00000574, 0.00001165, 0.00000814
6, 0.03212812, 0.00000493, 0.00001285, 0.00000598
7, 0.03217704, 0.00000383, 0.00000875, 0.00000699
8, 0.03222589, 0.00000417, 0.00000615, 0.00000792
9, 0.03218567, 0.00000426, 0.00001013, 0.00001180
10, 0.03222768, 0.00000463, 0.00000746, 0.00000875
11, 0.03213460, 0.00000791, 0.00001447, 0.00001366
12, 0.03253939, 0.00000481, 0.00000880, 0.00000837
13, 0.03219898, 0.00000444, 0.00000708, 0.00001104
14, 0.03209189, 0.00000450, 0.00000712, 0.00001005
15, 0.03219763, 0.00000422, 0.00000843, 0.00000969
16, 0.03181462, 0.00000213, 0.00000353, 0.00000362
17, 0.03181443, 0.00000236, 0.00000467, 0.00000463
18, 0.03208687, 0.00000366, 0.00000832, 0.00000598
19, 0.03205787, 0.00000401, 0.00000705, 0.00000893
20, 0.03230453, 0.00000397, 0.00000954, 0.00000954
21, 0.03238317, 0.00000389, 0.00000576, 0.00000926
22, 0.03254052, 0.00000450, 0.00000933, 0.00000759
23, 0.03198357, 0.00000285, 0.00000744, 0.00000377
24, 0.03285203, 0.00000478, 0.00001206, 0.00000701
25, 0.03239006, 0.00000421, 0.00000697, 0.00000805
26, 0.03226206, 0.00000388, 0.00000503, 0.00001214
27, 0.03220261, 0.00000312, 0.00000654, 0.00000752
28, 0.03184212, 0.00000467, 0.00000893, 0.00000824
